Epoch 0, lr 0.001
(247,15010) epoch loss : 0.001951
Epoch 248, lr 0.001

(248,15010) 0 step loss : 0.001951
(248,15010) epoch loss : 0.001951
Epoch 249, lr 0.001

(249,15010) 0 step loss : 0.001968
(249,15010) epoch loss : 0.001968
Epoch 250, lr 0.001

(250,15010) 0 step loss : 0.001971
(250,15010) epoch loss : 0.001971
Epoch 251, lr 0.001

(251,15010) 0 step loss : 0.001959
(251,15010) epoch loss : 0.001959
Epoch 252, lr 0.001

(252,15010) 0 step loss : 0.001953
(252,15010) epoch loss : 0.001953
Epoch 253, lr 0.001

(253,15010) 0 step loss : 0.001890
(253,15010) epoch loss : 0.001890
Epoch 254, lr 0.001

(254,15010) 0 step loss : 0.001909
(254,15010) epoch loss : 0.001909
Epoch 255, lr 0.001

(255,15010) 0 step loss : 0.001897
(255,15010) epoch loss : 0.001897
Epoch 256, lr 0.001

(256,15010) 0 step loss : 0.001877
(256,15010) epoch loss : 0.001877
Epoch 257, lr 0.001

(257,15010) 0 step loss : 0.001898
(257,15010) epoch loss : 0.001898
Epoch 258, lr 0.001

(258,15010) 0 step loss : 0.001834
(258,15010) epoch loss : 0.001834
Epoch 259, lr 0.001

(259,15010) 0 step loss : 0.001844
(259,15010) epoch loss : 0.001844
Epoch 260, lr 0.001

(260,15010) 0 step loss : 0.001825
(260,15010) epoch loss : 0.001825
Epoch 261, lr 0.001

(261,15010) 0 step loss : 0.001834
(261,15010) epoch loss : 0.001834
Epoch 262, lr 0.001

(262,15010) 0 step loss : 0.001824
(262,15010) epoch loss : 0.001824
Epoch 263, lr 0.001

(263,15010) 0 step loss : 0.001844
(263,15010) epoch loss : 0.001844
Epoch 264, lr 0.001

(264,15010) 0 step loss : 0.001823
(264,15010) epoch loss : 0.001823
Epoch 265, lr 0.001

(265,15010) 0 step loss : 0.001849
(265,15010) epoch loss : 0.001849
Epoch 266, lr 0.001

(266,15010) 0 step loss : 0.001831
(266,15010) epoch loss : 0.001831
Epoch 267, lr 0.001

(267,15010) 0 step loss : 0.001817
