Epoch 0, lr 0.001
(241,15010) 0 step loss : 0.019258
(241,15010) epoch loss : 0.019258
Epoch 242, lr 0.001

(242,15010) 0 step loss : 0.018998
(242,15010) epoch loss : 0.018998
Epoch 243, lr 0.001

(243,15010) 0 step loss : 0.018243
(243,15010) epoch loss : 0.018243
Epoch 244, lr 0.001

(244,15010) 0 step loss : 0.017920
(244,15010) epoch loss : 0.017920
Epoch 245, lr 0.001

(245,15010) 0 step loss : 0.018091
(245,15010) epoch loss : 0.018091
Epoch 246, lr 0.001

(246,15010) 0 step loss : 0.018331
(246,15010) epoch loss : 0.018331
Epoch 247, lr 0.001

(247,15010) 0 step loss : 0.018146
(247,15010) epoch loss : 0.018146
Epoch 248, lr 0.001

(248,15010) 0 step loss : 0.018109
(248,15010) epoch loss : 0.018109
Epoch 249, lr 0.001

(249,15010) 0 step loss : 0.017932
(249,15010) epoch loss : 0.017932
Epoch 250, lr 0.001

(250,15010) 0 step loss : 0.017885
(250,15010) epoch loss : 0.017885
Epoch 251, lr 0.001

(251,15010) 0 step loss : 0.017277
(251,15010) epoch loss : 0.017277
Epoch 252, lr 0.001

(252,15010) 0 step loss : 0.017270
(252,15010) epoch loss : 0.017270
Epoch 253, lr 0.001

(253,15010) 0 step loss : 0.017165
(253,15010) epoch loss : 0.017165
Epoch 254, lr 0.001

(254,15010) 0 step loss : 0.017114
(254,15010) epoch loss : 0.017114
Epoch 255, lr 0.001

(255,15010) 0 step loss : 0.016817
(255,15010) epoch loss : 0.016817
Epoch 256, lr 0.001

(256,15010) 0 step loss : 0.016581
(256,15010) epoch loss : 0.016581
Epoch 257, lr 0.001

(257,15010) 0 step loss : 0.016399
(257,15010) epoch loss : 0.016399
Epoch 258, lr 0.001

(258,15010) 0 step loss : 0.016314
(258,15010) epoch loss : 0.016314
Epoch 259, lr 0.001

(259,15010) 0 step loss : 0.016099
(259,15010) epoch loss : 0.016099
Epoch 260, lr 0.001

(260,15010) 0 step loss : 0.016113
(260,15010) epoch loss : 0.016113
Epoch 261, lr 0.001

(261,15010) 0 step loss : 0.016097
(261,15010) epoch loss : 0.016097
Epoch 262, lr 0.001

(262,15010) 0 step loss : 0.016334
(262,15010) epoch loss : 0.016334
Epoch 263, lr 0.001

(263,15010) 0 step loss : 0.016424
(263,15010) epoch loss : 0.016424
Epoch 264, lr 0.001

(264,15010) 0 step loss : 0.016257
(264,15010) epoch loss : 0.016257
Epoch 265, lr 0.001

(265,15010) 0 step loss : 0.016101
(265,15010) epoch loss : 0.016101
Epoch 266, lr 0.001

(266,15010) 0 step loss : 0.016039
(266,15010) epoch loss : 0.016039
Epoch 267, lr 0.001

(267,15010) 0 step loss : 0.015881
