Epoch 0, lr 0.0005
(27,420) 0 step loss : 0.001335
(27,420) epoch loss : 0.021366
Epoch 28, lr 0.0001

(28,420) 0 step loss : 0.001325
(28,420) epoch loss : 0.021204
Epoch 29, lr 0.0001

(29,420) 0 step loss : 0.001314
(29,420) epoch loss : 0.021026
Epoch 30, lr 0.0001

(30,420) 0 step loss : 0.001304
(30,420) epoch loss : 0.020861
Epoch 31, lr 0.0001

(31,420) 0 step loss : 0.001295
(31,420) epoch loss : 0.020712
Epoch 32, lr 0.0001

(32,420) 0 step loss : 0.001285
(32,420) epoch loss : 0.020566
Epoch 33, lr 0.0001

(33,420) 0 step loss : 0.001277
(33,420) epoch loss : 0.020437
Epoch 34, lr 0.0001

(34,420) 0 step loss : 0.001269
(34,420) epoch loss : 0.020311
Epoch 35, lr 0.0001

(35,420) 0 step loss : 0.001265
(35,420) epoch loss : 0.020243
Epoch 36, lr 0.0001

(36,420) 0 step loss : 0.001257
(36,420) epoch loss : 0.020106
Epoch 37, lr 0.0001

(37,420) 0 step loss : 0.001254
(37,420) epoch loss : 0.020069
Epoch 38, lr 0.0001

(38,420) 0 step loss : 0.001245
(38,420) epoch loss : 0.019918
Epoch 39, lr 0.0001

(39,420) 0 step loss : 0.001245
(39,420) epoch loss : 0.019915
Epoch 40, lr 0.0001

(40,420) 0 step loss : 0.001235
(40,420) epoch loss : 0.019757
Epoch 41, lr 0.0001

(41,420) 0 step loss : 0.001234
(41,420) epoch loss : 0.019752
Epoch 42, lr 0.0001

(42,420) 0 step loss : 0.001231
(42,420) epoch loss : 0.019700
Epoch 43, lr 0.0001

(43,420) 0 step loss : 0.001222
(43,420) epoch loss : 0.019547
Epoch 44, lr 0.0001

